Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
Secondary Gas,hIoni,2212.000000,14.649320,0.062342,-0.808023,1.000000,0.000011
Secondary Gas,hIoni,2212.000000,14.649587,0.062344,-0.808025,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.651016,0.062359,-0.808031,1.000000,0.000277
Secondary Gas,hIoni,2212.000000,14.652294,0.062372,-0.808037,1.000000,0.000186
Secondary Gas,hIoni,2212.000000,14.652847,0.062377,-0.808040,1.000000,0.000134
Secondary Gas,hIoni,2212.000000,14.653222,0.062381,-0.808042,1.000000,0.000013
Secondary Gas,hIoni,2212.000000,14.654748,0.062397,-0.808049,1.000000,0.000969
Secondary Gas,hIoni,2212.000000,14.654870,0.062398,-0.808050,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.655740,0.062407,-0.808054,1.000000,0.000470
Secondary Gas,hIoni,2212.000000,14.655841,0.062408,-0.808054,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.656167,0.062411,-0.808056,1.000000,0.000008
Secondary Gas,hIoni,2212.000000,14.656299,0.062412,-0.808057,1.000000,0.000024
Secondary Gas,hIoni,2212.000000,14.656474,0.062414,-0.808057,1.000000,0.000012
Secondary Gas,hIoni,2212.000000,14.657237,0.062422,-0.808061,1.000000,0.000048
Secondary Gas,hIoni,2212.000000,14.658364,0.062433,-0.808066,1.000000,0.000262
Secondary Gas,hIoni,2212.000000,14.658371,0.062433,-0.808066,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.660840,0.062458,-0.808078,1.000000,0.000680
Secondary Gas,hIoni,2212.000000,14.664294,0.062494,-0.808094,1.000000,0.000353
Secondary Gas,hIoni,2212.000000,14.664609,0.062497,-0.808096,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.664691,0.062498,-0.808096,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.665346,0.062505,-0.808099,1.000000,0.000170
Secondary Gas,hIoni,2212.000000,14.667213,0.062524,-0.808108,1.000000,0.000257
Secondary Gas,hIoni,2212.000000,14.667727,0.062530,-0.808110,1.000000,0.000752
Secondary Gas,hIoni,2212.000000,14.668445,0.062537,-0.808114,1.000000,0.000314
Secondary Gas,hIoni,2212.000000,14.669420,0.062547,-0.808118,1.000000,0.000197
Secondary Gas,hIoni,2212.000000,14.669729,0.062550,-0.808120,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.671843,0.062572,-0.808130,1.000000,0.000293
Secondary Gas,hIoni,2212.000000,14.673427,0.062589,-0.808137,1.000000,0.000267
Secondary Gas,hIoni,2212.000000,14.676447,0.062621,-0.808151,1.000000,0.000839
Secondary Gas,hIoni,2212.000000,14.677234,0.062629,-0.808155,1.000000,0.000249
Secondary Gas,hIoni,2212.000000,14.677469,0.062632,-0.808156,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.677655,0.062634,-0.808157,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.678341,0.062641,-0.808160,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.679258,0.062651,-0.808164,1.000000,0.000422
Secondary Gas,hIoni,2212.000000,14.679504,0.062654,-0.808165,1.000000,0.000278
Secondary Gas,hIoni,2212.000000,14.679945,0.062659,-0.808167,1.000000,0.000004
Secondary Gas,hIoni,2212.000000,14.685127,0.062714,-0.808191,1.000000,0.001487
Secondary Gas,hIoni,2212.000000,14.685524,0.062719,-0.808192,1.000000,0.000009
Secondary Gas,hIoni,2212.000000,14.686054,0.062724,-0.808195,1.000000,0.000007
Secondary Gas,hIoni,2212.000000,14.686064,0.062724,-0.808195,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,14.686381,0.062728,-0.808196,1.000000,0.000022
Secondary Gas,hIoni,2212.000000,14.686499,0.062729,-0.808197,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.686753,0.062732,-0.808198,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.688684,0.062752,-0.808207,1.000000,0.000053
Secondary Gas,hIoni,2212.000000,14.689110,0.062757,-0.808209,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.690179,0.062769,-0.808214,1.000000,0.000017
Secondary Gas,hIoni,2212.000000,14.692164,0.062791,-0.808224,1.000000,0.000843
Secondary Gas,hIoni,2212.000000,14.692365,0.062793,-0.808225,1.000000,0.000011
Secondary Gas,hIoni,2212.000000,14.692469,0.062794,-0.808225,1.000000,0.000015
Secondary Gas,hIoni,2212.000000,14.693913,0.062810,-0.808233,1.000000,0.000217
Secondary Gas,hIoni,2212.000000,14.694203,0.062814,-0.808234,1.000000,0.000322
Secondary Gas,hIoni,2212.000000,14.696689,0.062842,-0.808248,1.000000,0.000272
Secondary Gas,hIoni,2212.000000,14.697008,0.062845,-0.808249,1.000000,0.000051
Secondary Gas,hIoni,2212.000000,14.698517,0.062863,-0.808257,1.000000,0.000554
Secondary Gas,hIoni,2212.000000,14.699069,0.062869,-0.808260,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.699414,0.062873,-0.808262,1.000000,0.000038
Secondary Gas,hIoni,2212.000000,14.700233,0.062882,-0.808266,1.000000,0.000020
Secondary Gas,hIoni,2212.000000,14.700749,0.062888,-0.808269,1.000000,0.000004
Secondary Gas,hIoni,2212.000000,14.702280,0.062905,-0.808277,1.000000,0.000662
Secondary Gas,hIoni,2212.000000,14.703200,0.062916,-0.808281,1.000000,0.000233
Secondary Gas,hIoni,2212.000000,14.704875,0.062935,-0.808290,1.000000,0.000006
Secondary Gas,hIoni,2212.000000,14.705966,0.062947,-0.808296,1.000000,0.000144
Secondary Gas,hIoni,2212.000000,14.706291,0.062951,-0.808297,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.706927,0.062958,-0.808301,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,14.707049,0.062960,-0.808301,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.708017,0.062971,-0.808306,1.000000,0.000052
Secondary Gas,hIoni,2212.000000,14.708318,0.062975,-0.808308,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.709080,0.062983,-0.808312,1.000000,0.000052
Secondary Gas,hIoni,2212.000000,14.709091,0.062983,-0.808312,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.710663,0.063002,-0.808320,1.000000,0.000123
Secondary Gas,hIoni,2212.000000,14.711677,0.063014,-0.808325,1.000000,0.000188
Secondary Gas,hIoni,2212.000000,14.711688,0.063014,-0.808325,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,14.711699,0.063014,-0.808325,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.711938,0.063017,-0.808326,1.000000,0.000091
Secondary Gas,hIoni,2212.000000,14.712312,0.063021,-0.808328,1.000000,0.000142
Secondary Gas,hIoni,2212.000000,14.713317,0.063033,-0.808333,1.000000,0.000203
Secondary Gas,hIoni,2212.000000,14.716723,0.063072,-0.808350,1.000000,0.000562
Secondary Gas,hIoni,2212.000000,14.717402,0.063080,-0.808354,1.000000,0.000055
Secondary Gas,hIoni,2212.000000,14.717571,0.063082,-0.808355,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.717953,0.063086,-0.808357,1.000000,0.000263
Secondary Gas,hIoni,2212.000000,14.718950,0.063098,-0.808361,1.000000,0.000112
Secondary Gas,hIoni,2212.000000,14.719773,0.063107,-0.808366,1.000000,0.000252
Secondary Gas,hIoni,2212.000000,14.720662,0.063117,-0.808370,1.000000,0.000134
Secondary Gas,hIoni,2212.000000,14.721127,0.063123,-0.808372,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,14.723448,0.063149,-0.808384,1.000000,0.000395
Secondary Gas,hIoni,2212.000000,14.724817,0.063165,-0.808391,1.000000,0.000388
Secondary Gas,hIoni,2212.000000,14.725105,0.063168,-0.808392,1.000000,0.000027
Secondary Gas,hIoni,2212.000000,14.725205,0.063169,-0.808392,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.726353,0.063182,-0.808398,1.000000,0.000209
Secondary Gas,hIoni,2212.000000,14.726624,0.063186,-0.808399,1.000000,0.000007
Secondary Gas,hIoni,2212.000000,14.726728,0.063187,-0.808400,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.730089,0.063225,-0.808416,1.000000,0.000699
Secondary Gas,hIoni,2212.000000,14.730448,0.063229,-0.808418,1.000000,0.000026
Secondary Gas,hIoni,2212.000000,14.733288,0.063261,-0.808432,1.000000,0.000527
