Cathode,Cathode,phot,22,phot,15.7236,1.466e-05
Cathode,Cathode,phot,22,phot,15.7236,1.492e-05
Cathode,Cathode,phot,22,phot,15.7236,1.274e-05
Cathode,Cathode,phot,22,phot,15.7236,2.044e-05
Cathode,Cathode,phot,22,phot,15.7236,1.291e-05
Cathode,Cathode,phot,22,phot,15.7236,6.404e-05
Cathode,Cathode,phot,22,phot,15.7236,2.565e-05
Cathode,Cathode,phot,22,phot,15.7236,2.565e-05
Cathode,Cathode,phot,22,phot,15.7236,1.274e-05
Cathode,Cathode,phot,22,phot,15.7236,1.283e-05
Cathode,Cathode,phot,22,phot,15.7236,1.274e-05
Cathode,Cathode,phot,22,phot,15.7236,1.274e-05
Cathode,Cathode,phot,22,phot,15.7236,0
Cathode,Cathode,phot,22,phot,15.7236,2.548e-05
Cathode,Cathode,phot,22,phot,15.7236,1.291e-05
Cathode,Cathode,phot,22,phot,15.7236,2.548e-05
Cathode,Cathode,phot,22,phot,15.7236,1.274e-05
Cathode,Cathode,phot,22,phot,15.7236,1.283e-05
Cathode,Cathode,phot,22,phot,15.7237,2.565e-05
Cathode,Cathode,phot,22,phot,15.7237,1.274e-05
Cathode,Cathode,phot,22,phot,15.7237,2.565e-05
Cathode,Cathode,phot,22,phot,15.7237,1.274e-05
Cathode,Cathode,phot,22,phot,15.7239,1.274e-05
Cathode,Cathode,phot,22,phot,15.7239,1.291e-05
Cathode,Cathode,phot,22,phot,15.7239,2.565e-05
Cathode,Cathode,phot,22,phot,15.7239,1.274e-05
Cathode,Cathode,phot,22,phot,15.7239,1.291e-05
Cathode,Cathode,phot,22,phot,15.7239,2.301e-05
Cathode,Cathode,phot,22,phot,15.7239,1.466e-05
Cathode,Cathode,phot,22,phot,15.7236,2.565e-05
Cathode,Cathode,phot,22,phot,15.7218,1.274e-05
Cathode,Cathode,phot,22,phot,15.7218,1.92e-05
Cathode,Cathode,phot,22,phot,15.7287,3.335e-05
Cathode,Cathode,phot,22,phot,15.7287,2.548e-05
Cathode,Cathode,phot,22,phot,15.7287,2.565e-05
Cathode,Cathode,phot,22,phot,15.7287,3.856e-05
Cathode,Cathode,phot,22,phot,15.7276,2.565e-05
Cathode,Cathode,phot,22,phot,15.7276,0
Cathode,Cathode,phot,22,phot,15.7276,6.46e-06
Cathode,Cathode,phot,22,phot,15.7276,2.565e-05
Cathode,Cathode,phot,22,phot,15.7296,3.84e-05
Cathode,Cathode,phot,22,phot,15.7296,2.548e-05
Cathode,Cathode,phot,22,phot,15.7296,3.839e-05
Cathode,Cathode,phot,22,phot,15.7296,3.822e-05
Cathode,Cathode,phot,22,phot,15.7296,6.46e-06
Cathode,Cathode,phot,22,phot,15.7291,1.274e-05
Cathode,Cathode,phot,22,phot,15.7291,2.548e-05
Cathode,Cathode,phot,22,phot,15.7291,1.291e-05
Cathode,Cathode,phot,22,phot,15.7291,3.301e-05
Cathode,Cathode,phot,22,phot,15.7295,4.592e-05
Cathode,Cathode,phot,22,phot,15.7295,6.37e-06
Cathode,Cathode,phot,22,phot,15.7295,1.274e-05
Cathode,Cathode,phot,22,phot,15.7295,3.856e-05
Cathode,Cathode,phot,22,phot,15.7294,3.822e-05
Cathode,Cathode,phot,22,phot,15.7294,2.548e-05
Cathode,Cathode,phot,22,phot,15.7294,1.274e-05
Cathode,Cathode,phot,22,phot,15.7294,2.548e-05
Cathode,Cathode,phot,22,phot,15.7294,1.274e-05
Cathode,Cathode,phot,22,phot,15.7294,2.582e-05
Cathode,Cathode,phot,22,phot,15.7294,1.274e-05
Cathode,Cathode,phot,22,phot,15.7294,2.565e-05
Cathode,Cathode,phot,22,phot,15.7294,2.565e-05
Cathode,Cathode,phot,22,phot,15.7294,1.291e-05
Cathode,Cathode,phot,22,phot,15.7295,1.291e-05
Cathode,Cathode,phot,22,phot,15.7295,2.557e-05
Cathode,Cathode,phot,22,phot,15.7295,1.291e-05
Cathode,Cathode,phot,22,phot,15.7295,1.291e-05
Cathode,Cathode,phot,22,phot,15.7296,3.318e-05
Cathode,Cathode,phot,22,phot,15.7296,2.565e-05
Cathode,Cathode,phot,22,phot,15.7296,2.565e-05
Cathode,Cathode,phot,22,phot,15.7296,1.274e-05
Cathode,Cathode,phot,22,phot,15.7296,1.274e-05
