Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
Secondary Cathode,eIoni,-11.000000,15.425202,0.834004,-1.677340,4.000000,0.000000
Secondary Cathode,eIoni,-11.000000,15.425140,0.834007,-1.677347,4.000000,0.000515
Secondary Cathode,eIoni,-11.000000,15.425096,0.834009,-1.677352,4.000000,0.000399
Secondary Cathode,eIoni,-11.000000,15.424987,0.834013,-1.677363,4.000000,0.000844
Secondary Cathode,eIoni,-11.000000,15.424898,0.834017,-1.677372,4.000000,0.000593
Secondary Cathode,eIoni,-11.000000,15.424866,0.834018,-1.677375,4.000000,0.000329
Secondary Cathode,eIoni,-11.000000,15.424800,0.834021,-1.677382,4.000000,0.000180
Secondary Cathode,eIoni,-11.000000,15.424792,0.834021,-1.677382,4.000000,0.000120
Secondary Cathode,eIoni,-11.000000,15.424746,0.834023,-1.677387,4.000000,0.000153
Secondary Cathode,eIoni,-11.000000,15.424539,0.834032,-1.677407,4.000000,0.001043
Secondary Cathode,eIoni,-11.000000,15.424527,0.834033,-1.677408,4.000000,0.000112
Secondary Cathode,eIoni,-11.000000,15.424452,0.834036,-1.677415,4.000000,0.000289
Secondary Cathode,msc,-11.000000,15.424441,0.834036,-1.677416,4.000000,0.000033
Secondary Cathode,eIoni,-11.000000,15.424440,0.834036,-1.677416,4.000000,0.000003
Secondary Cathode,msc,-11.000000,15.424431,0.834036,-1.677418,4.000000,0.000067
Secondary Cathode,eIoni,-11.000000,15.424421,0.834037,-1.677419,4.000000,0.000056
Secondary Cathode,eIoni,-11.000000,15.424405,0.834038,-1.677421,4.000000,0.000083
Secondary Cathode,msc,-11.000000,15.424403,0.834038,-1.677421,4.000000,0.000009
Secondary Cathode,eIoni,-11.000000,15.424402,0.834038,-1.677421,4.000000,0.000003
Secondary Cathode,msc,-11.000000,15.424390,0.834038,-1.677423,4.000000,0.000008
Secondary Cathode,eIoni,-11.000000,15.424389,0.834038,-1.677423,4.000000,0.000038
Secondary Cathode,msc,-11.000000,15.424387,0.834038,-1.677423,4.000000,0.000006
Secondary Cathode,msc,-11.000000,15.424387,0.834038,-1.677423,4.000000,0.000002
Secondary Cathode,msc,-11.000000,15.424385,0.834038,-1.677424,4.000000,0.000009
Secondary Cathode,eIoni,-11.000000,15.424376,0.834039,-1.677425,4.000000,0.000039
Secondary Cathode,eIoni,-11.000000,15.424324,0.834041,-1.677434,4.000000,0.000458
