Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
Secondary SupportRod,eIoni,-11.000000,4.167616,-0.999610,-1.828761,9.000000,0.000134
Secondary SupportRod,eIoni,-11.000000,4.167612,-0.999610,-1.828702,9.000000,0.000038
Secondary SupportRod,eIoni,-11.000000,4.167603,-0.999610,-1.828548,9.000000,0.000102
Secondary SupportRod,eIoni,-11.000000,4.167601,-0.999610,-1.828513,9.000000,0.000020
Secondary SupportRod,eIoni,-11.000000,4.167600,-0.999610,-1.828494,9.000000,0.000020
Secondary SupportRod,eIoni,-11.000000,4.167541,-0.999612,-1.827053,9.000000,0.001393
Secondary SupportRod,eIoni,-11.000000,4.167543,-0.999612,-1.826972,9.000000,0.000293
Secondary SupportRod,eIoni,-11.000000,4.167565,-0.999612,-1.826165,9.000000,0.000398
Secondary SupportRod,eIoni,-11.000000,4.167565,-0.999612,-1.826161,9.000000,0.000022
Secondary SupportRod,eIoni,-11.000000,4.167583,-0.999613,-1.825829,9.000000,0.000195
Secondary SupportRod,eIoni,-11.000000,4.167617,-0.999613,-1.825028,9.000000,0.000332
Secondary SupportRod,eIoni,-11.000000,4.167618,-0.999613,-1.825003,9.000000,0.000048
Secondary SupportRod,eIoni,-11.000000,4.167628,-0.999613,-1.824728,9.000000,0.000163
Secondary SupportRod,eIoni,-11.000000,4.167636,-0.999613,-1.824538,9.000000,0.000108
Secondary SupportRod,eIoni,-11.000000,4.167652,-0.999613,-1.824098,9.000000,0.000198
Secondary SupportRod,eIoni,-11.000000,4.167653,-0.999613,-1.824079,9.000000,0.000020
Secondary SupportRod,eIoni,-11.000000,4.167709,-0.999614,-1.822819,9.000000,0.000814
Secondary SupportRod,eIoni,-11.000000,4.167724,-0.999614,-1.821982,9.000000,0.000583
Secondary SupportRod,eIoni,-11.000000,4.167744,-0.999615,-1.821536,9.000000,0.000448
Secondary SupportRod,eIoni,-11.000000,4.167804,-0.999615,-1.820123,9.000000,0.001094
Secondary SupportRod,eIoni,-11.000000,4.167814,-0.999616,-1.818887,9.000000,0.000528
Secondary SupportRod,eIoni,-11.000000,4.167803,-0.999616,-1.818251,9.000000,0.000388
Secondary SupportRod,eIoni,-11.000000,4.167785,-0.999616,-1.817673,9.000000,0.000495
Secondary SupportRod,eIoni,-11.000000,4.167777,-0.999617,-1.817448,9.000000,0.000253
Secondary SupportRod,eIoni,-11.000000,4.167774,-0.999617,-1.817299,9.000000,0.000101
Secondary SupportRod,eIoni,-11.000000,4.167769,-0.999617,-1.817085,9.000000,0.000142
Secondary SupportRod,eIoni,-11.000000,4.167763,-0.999617,-1.816911,9.000000,0.000158
Secondary SupportRod,eIoni,-11.000000,4.167762,-0.999617,-1.816869,9.000000,0.000095
Secondary SupportRod,eIoni,-11.000000,4.167757,-0.999617,-1.816669,9.000000,0.000291
Secondary SupportRod,eIoni,-11.000000,4.167742,-0.999618,-1.816061,9.000000,0.000678
Secondary SupportRod,eIoni,-11.000000,4.167742,-0.999618,-1.816058,9.000000,0.000033
Secondary SupportRod,eIoni,-11.000000,4.167711,-0.999618,-1.815844,9.000000,0.000260
Secondary SupportRod,eIoni,-11.000000,4.167686,-0.999619,-1.815519,9.000000,0.000322
Secondary SupportRod,eIoni,-11.000000,4.167679,-0.999619,-1.815394,9.000000,0.000010
Secondary SupportRod,eIoni,-11.000000,4.167658,-0.999619,-1.815127,9.000000,0.000343
Secondary SupportRod,eIoni,-11.000000,4.167649,-0.999619,-1.814979,9.000000,0.000237
Secondary SupportRod,eIoni,-11.000000,4.167557,-0.999621,-1.813884,9.000000,0.001483
