Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Secondary Gas,hIoni,2212.000000,14.542764,-0.555246,1.477163,1.000000,0.000504
Secondary Gas,hIoni,2212.000000,14.544761,-0.555304,1.477368,1.000000,0.000984
Secondary Gas,hIoni,2212.000000,14.544901,-0.555308,1.477382,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.545380,-0.555322,1.477431,1.000000,0.000048
Secondary Gas,hIoni,2212.000000,14.545451,-0.555324,1.477438,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.546052,-0.555341,1.477499,1.000000,0.000221
Secondary Gas,hIoni,2212.000000,14.546994,-0.555368,1.477595,1.000000,0.000138
Secondary Gas,hIoni,2212.000000,14.547513,-0.555383,1.477648,1.000000,0.000030
Secondary Gas,hIoni,2212.000000,14.548209,-0.555403,1.477719,1.000000,0.000107
Secondary Gas,hIoni,2212.000000,14.549197,-0.555431,1.477820,1.000000,0.000548
Secondary Gas,hIoni,2212.000000,14.549418,-0.555438,1.477842,1.000000,0.000078
Secondary Gas,hIoni,2212.000000,14.549450,-0.555439,1.477845,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.549687,-0.555445,1.477870,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.549734,-0.555447,1.477874,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.549907,-0.555451,1.477892,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.549955,-0.555453,1.477897,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.550149,-0.555458,1.477917,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.550339,-0.555464,1.477936,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.551207,-0.555488,1.478024,1.000000,0.000652
