Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Secondary SupportRod,phot,22.000000,14.293048,-0.999916,2.801832,607.000000,0.000010
Secondary SupportRod,phot,22.000000,14.292792,-0.999916,2.802971,607.000000,0.000029
Secondary SupportRod,phot,22.000000,14.292734,-0.999916,2.802690,624.000000,0.000010
Secondary SupportRod,phot,22.000000,14.292735,-0.999916,2.802686,629.000000,0.000010
Secondary SupportRod,phot,22.000000,14.292732,-0.999916,2.802708,624.000000,0.000069
Secondary SupportRod,phot,22.000000,14.292731,-0.999916,2.802710,634.000000,0.000010
Secondary SupportRod,phot,22.000000,14.292729,-0.999916,2.802698,634.000000,0.000020
Secondary SupportRod,phot,22.000000,14.292730,-0.999916,2.802700,642.000000,0.000010
Secondary SupportRod,phot,22.000000,14.292732,-0.999916,2.802709,632.000000,0.000010
Secondary SupportRod,phot,22.000000,14.292732,-0.999916,2.802708,632.000000,0.000010
Secondary SupportRod,phot,22.000000,14.292733,-0.999916,2.802708,650.000000,0.000010
Secondary SupportRod,phot,22.000000,14.292734,-0.999916,2.802722,632.000000,0.000010
Secondary SupportRod,phot,22.000000,14.292969,-0.999916,2.802705,607.000000,0.000010
Secondary SupportRod,phot,22.000000,14.292842,-0.999916,2.802314,607.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293429,-0.999915,2.802208,607.000000,0.000040
Secondary SupportRod,phot,22.000000,14.293451,-0.999915,2.802269,658.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293454,-0.999915,2.802293,658.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293453,-0.999915,2.802283,664.000000,0.000020
Secondary SupportRod,phot,22.000000,14.293452,-0.999915,2.802283,658.000000,0.000020
Secondary SupportRod,phot,22.000000,14.293517,-0.999915,2.802265,656.000000,0.000020
Secondary SupportRod,phot,22.000000,14.293544,-0.999915,2.801806,656.000000,0.000060
Secondary SupportRod,phot,22.000000,14.293531,-0.999915,2.801831,677.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293528,-0.999915,2.801823,677.000000,0.000029
