Volume, Process, Particle, Process, Radius, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Secondary Cathode,phot,22,15.7215,659,2.565e-05
Secondary Cathode,phot,22,15.7263,13,1.274e-05
Secondary Cathode,phot,22,15.728,13,4.424e-05
Secondary Cathode,phot,22,15.728,666,1.466e-05
Secondary Cathode,phot,22,15.728,666,2.548e-05
Secondary Cathode,phot,22,15.728,666,1.291e-05
Secondary Cathode,phot,22,15.728,666,1.274e-05
Secondary Cathode,phot,22,15.7281,38,0.00010492
Secondary Cathode,phot,22,15.7281,680,3.318e-05
Secondary Cathode,phot,22,15.7281,680,1.291e-05
Secondary Cathode,phot,22,15.7281,679,1.274e-05
Secondary Cathode,phot,22,15.7281,679,2.565e-05
Secondary Cathode,phot,22,15.7281,695,2.565e-05
Secondary Cathode,phot,22,15.7277,678,1.466e-05
Secondary Cathode,phot,22,15.7277,707,4.424e-05
Secondary Cathode,phot,22,15.7277,678,1.466e-05
Secondary Cathode,phot,22,15.7277,678,1.291e-05
Secondary Cathode,phot,22,15.7277,678,5.113e-05
Secondary Cathode,phot,22,15.7277,715,2.565e-05
Secondary Cathode,phot,22,15.7277,720,1.274e-05
Secondary Cathode,phot,22,15.7277,715,1.274e-05
Secondary Cathode,phot,22,15.7279,678,1.274e-05
Secondary Cathode,phot,22,15.7277,678,4.592e-05
Secondary Cathode,phot,22,15.7277,727,1.291e-05
Secondary Cathode,phot,22,15.7277,727,2.565e-05
Secondary Cathode,phot,22,15.7276,726,1.274e-05
Secondary Cathode,phot,22,15.7276,726,6.46e-06
Secondary Cathode,phot,22,15.7276,726,1.283e-05
Secondary Cathode,phot,22,15.7276,742,1.466e-05
Secondary Cathode,phot,22,15.7277,742,1.274e-05
Secondary Cathode,phot,22,15.7277,747,1.466e-05
Secondary Cathode,phot,22,15.7276,726,6.404e-05
Secondary Cathode,phot,22,15.7276,751,2.565e-05
Secondary Cathode,phot,22,15.7276,756,3.839e-05
Secondary Cathode,phot,22,15.7276,726,6.46e-06
Secondary Cathode,phot,22,15.7278,678,4.609e-05
Secondary Cathode,phot,22,15.7278,764,1.274e-05
Secondary Cathode,phot,22,15.7278,768,1.291e-05
Secondary Cathode,phot,22,15.7278,763,2.044e-05
Secondary Cathode,phot,22,15.7281,677,1.283e-05
Secondary Cathode,phot,22,15.728,664,2.565e-05
Secondary Cathode,phot,22,15.728,782,2.932e-05
Secondary Cathode,phot,22,15.728,785,1.274e-05
Secondary Cathode,phot,22,15.728,788,2.548e-05
Secondary Cathode,phot,22,15.7279,664,1.274e-05
Secondary Cathode,phot,22,15.7279,664,1.274e-05
Secondary Cathode,phot,22,15.728,793,1.233e-05
Secondary Cathode,phot,22,15.728,664,6.387e-05
Secondary Cathode,phot,22,15.728,798,1.274e-05
Secondary Cathode,phot,22,15.728,798,1.274e-05
Secondary Cathode,phot,22,15.728,798,6.37e-06
Secondary Cathode,phot,22,15.728,807,1.283e-05
Secondary Cathode,phot,22,15.7263,13,3.822e-05
Secondary Cathode,phot,22,15.7263,811,1.274e-05
Secondary Cathode,phot,22,15.7274,13,5.13e-05
Secondary Cathode,phot,22,15.7274,817,2.548e-05
Secondary Cathode,phot,22,15.7276,816,2.565e-05
Secondary Cathode,phot,22,15.7276,816,2.565e-05
Secondary Cathode,phot,22,15.7276,833,3.856e-05
Secondary Cathode,phot,22,15.7276,816,1.291e-05
Secondary Cathode,phot,22,15.7276,839,1.274e-05
Secondary Cathode,phot,22,15.7276,816,2.565e-05
Secondary Cathode,phot,22,15.7276,842,3.839e-05
Secondary Cathode,phot,22,15.7274,816,2.565e-05
Secondary Cathode,phot,22,15.7273,848,2.565e-05
Secondary Cathode,phot,22,15.7273,851,6.46e-06
Secondary Cathode,phot,22,15.7274,816,7.174e-05
Secondary Cathode,phot,22,15.7274,856,1.291e-05
Secondary Cathode,phot,22,15.7274,862,1.283e-05
Secondary Cathode,phot,22,15.7274,855,6.37e-06
Secondary Cathode,phot,22,15.7274,867,1.291e-05
Secondary Cathode,phot,22,15.7274,816,1.291e-05
Secondary Cathode,phot,22,15.7273,816,1.274e-05
Secondary Cathode,phot,22,15.7273,871,1.291e-05
Secondary Cathode,phot,22,15.7273,871,1.492e-05
Secondary Cathode,phot,22,15.7273,875,1.291e-05
Secondary Cathode,phot,22,15.7273,875,1.274e-05
Secondary Cathode,phot,22,15.7228,13,2.565e-05
Secondary Cathode,phot,22,15.7228,881,1.466e-05
Secondary Cathode,phot,22,15.7228,881,1.291e-05
Secondary Cathode,phot,22,15.7228,885,1.291e-05
Secondary Cathode,phot,22,15.7228,885,1.274e-05
Secondary Cathode,phot,22,15.723,880,2.027e-05
Secondary Cathode,phot,22,15.723,880,7.14e-05
Secondary Cathode,phot,22,15.723,898,1.283e-05
Secondary Cathode,phot,22,15.723,904,1.274e-05
Secondary Cathode,phot,22,15.723,904,1.466e-05
Secondary Cathode,phot,22,15.723,898,1.274e-05
Secondary Cathode,phot,22,15.723,896,1.291e-05
Secondary Cathode,phot,22,15.7229,880,2.565e-05
Secondary Cathode,phot,22,15.7228,880,1.274e-05
Secondary Cathode,phot,22,15.7228,915,3.856e-05
Secondary Cathode,phot,22,15.7228,915,1.274e-05
Secondary Cathode,phot,22,15.7209,13,2.565e-05
Secondary Cathode,phot,22,15.7209,922,2.548e-05
Secondary Cathode,phot,22,15.7209,926,1.274e-05
Secondary Cathode,phot,22,15.721,922,1.274e-05
Secondary Cathode,phot,22,15.721,930,1.274e-05
Secondary Cathode,phot,22,15.721,932,1.274e-05
Secondary Cathode,phot,22,15.7243,13,2.582e-05
Secondary Cathode,phot,22,15.7242,937,1.291e-05
Secondary Cathode,phot,22,15.7243,937,2.565e-05
Secondary Cathode,phot,22,15.7242,33,5.105e-05
Secondary Cathode,phot,22,15.7242,945,1.274e-05
Secondary Cathode,phot,22,15.724,943,6.421e-05
Secondary Cathode,phot,22,15.724,960,1.274e-05
Secondary Cathode,phot,22,15.724,960,1.283e-05
Secondary Cathode,phot,22,15.724,960,2.565e-05
Secondary Cathode,phot,22,15.724,959,1.274e-05
Secondary Cathode,phot,22,15.724,943,5.13e-05
Secondary Cathode,phot,22,15.724,975,1.291e-05
Secondary Cathode,phot,22,15.724,979,1.291e-05
Secondary Cathode,phot,22,15.724,981,1.274e-05
Secondary Cathode,phot,22,15.724,943,1.291e-05
Secondary Cathode,phot,22,15.7241,943,3.839e-05
Secondary Cathode,phot,22,15.7241,943,1.283e-05
Secondary Cathode,phot,22,15.7251,943,2.557e-05
Secondary Cathode,phot,22,15.7251,991,2.565e-05
Secondary Cathode,phot,22,15.7255,990,6.37e-05
Secondary Cathode,phot,22,15.7255,1001,3.318e-05
Secondary Cathode,phot,22,15.7255,1005,1.274e-05
Secondary Cathode,phot,22,15.7255,1009,1.466e-05
Secondary Cathode,phot,22,15.7255,999,2.565e-05
Secondary Cathode,phot,22,15.7255,999,1.283e-05
Secondary Cathode,phot,22,15.7255,1018,2.548e-05
Secondary Cathode,phot,22,15.7255,999,1.291e-05
Secondary Cathode,phot,22,15.7255,999,1.492e-05
Secondary Cathode,phot,22,15.7255,990,1.274e-05
Secondary Cathode,phot,22,15.7246,935,1.291e-05
Secondary Cathode,phot,22,15.7246,935,1.466e-05
Secondary Cathode,phot,22,15.7248,935,0.00011568
Secondary Cathode,phot,22,15.7248,1034,1.291e-05
Secondary Cathode,phot,22,15.7248,1041,1.291e-05
Secondary Cathode,phot,22,15.7248,1041,1.291e-05
Secondary Cathode,phot,22,15.7248,1045,1.274e-05
Secondary Cathode,phot,22,15.7247,1033,6.37e-06
Secondary Cathode,phot,22,15.7247,1049,1.492e-05
Secondary Cathode,phot,22,15.7238,1032,3.822e-05
Secondary Cathode,phot,22,15.7243,1032,2.565e-05
Secondary Cathode,phot,22,15.7238,1058,1.291e-05
Secondary Cathode,phot,22,15.7238,1067,1.274e-05
Secondary Cathode,phot,22,15.7238,1058,2.565e-05
Secondary Cathode,phot,22,15.7238,1058,2.958e-05
Secondary Cathode,phot,22,15.7238,1058,1.291e-05
Secondary Cathode,phot,22,15.7238,1074,1.274e-05
Secondary Cathode,phot,22,15.7238,1058,1.929e-05
Secondary Cathode,phot,22,15.7238,1078,1.274e-05
Secondary Cathode,phot,22,15.7238,1081,2.565e-05
Secondary Cathode,phot,22,15.7236,1077,3.839e-05
Secondary Cathode,phot,22,15.7237,1077,7.695e-05
Secondary Cathode,phot,22,15.7237,1096,2.565e-05
Secondary Cathode,phot,22,15.7237,1101,1.492e-05
Secondary Cathode,phot,22,15.7237,1094,2.565e-05
