Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Secondary Gas,hIoni,2212.000000,11.766206,0.154679,-1.752925,1.000000,0.000041
Secondary Gas,hIoni,2212.000000,11.767438,0.154697,-1.753049,1.000000,0.000501
Secondary Gas,hIoni,2212.000000,11.767651,0.154700,-1.753070,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.767700,0.154701,-1.753075,1.000000,0.000067
Secondary Gas,hIoni,2212.000000,11.768354,0.154710,-1.753141,1.000000,0.000160
Secondary Gas,hIoni,2212.000000,11.768477,0.154712,-1.753153,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.768593,0.154714,-1.753165,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.768652,0.154715,-1.753171,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.769157,0.154722,-1.753221,1.000000,0.000007
Secondary Gas,hIoni,2212.000000,11.770465,0.154741,-1.753351,1.000000,0.000366
Secondary Gas,hIoni,2212.000000,11.771062,0.154749,-1.753411,1.000000,0.000005
Secondary Gas,hIoni,2212.000000,11.775586,0.154812,-1.753859,1.000000,0.002389
Secondary Gas,hIoni,2212.000000,11.775621,0.154812,-1.753863,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.776658,0.154827,-1.753965,1.000000,0.000244
Secondary Gas,hIoni,2212.000000,11.776670,0.154827,-1.753966,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.776897,0.154830,-1.753989,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.777645,0.154840,-1.754062,1.000000,0.000187
Secondary Gas,hIoni,2212.000000,11.777989,0.154845,-1.754096,1.000000,0.000086
Secondary Gas,hIoni,2212.000000,11.778125,0.154846,-1.754110,1.000000,0.000198
Secondary Gas,hIoni,2212.000000,11.778595,0.154853,-1.754156,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,11.779124,0.154860,-1.754208,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.779774,0.154869,-1.754272,1.000000,0.000096
Secondary Gas,hIoni,2212.000000,11.781416,0.154892,-1.754433,1.000000,0.000437
Secondary Gas,hIoni,2212.000000,11.781763,0.154896,-1.754467,1.000000,0.000025
Secondary Gas,hIoni,2212.000000,11.782351,0.154904,-1.754525,1.000000,0.000014
Secondary Gas,hIoni,2212.000000,11.782401,0.154905,-1.754530,1.000000,0.000006
Secondary Gas,hIoni,2212.000000,11.783145,0.154915,-1.754603,1.000000,0.000235
Secondary Gas,hIoni,2212.000000,11.783376,0.154918,-1.754625,1.000000,0.000021
Secondary Gas,hIoni,2212.000000,11.784552,0.154933,-1.754741,1.000000,0.000422
Secondary Gas,hIoni,2212.000000,11.785194,0.154942,-1.754803,1.000000,0.000101
Secondary Gas,hIoni,2212.000000,11.785557,0.154946,-1.754839,1.000000,0.000254
Secondary Gas,hIoni,2212.000000,11.786518,0.154959,-1.754933,1.000000,0.000082
Secondary Gas,hIoni,2212.000000,11.786623,0.154960,-1.754943,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.786975,0.154965,-1.754977,1.000000,0.000034
Secondary Gas,hIoni,2212.000000,11.787057,0.154966,-1.754985,1.000000,0.000008
Secondary Gas,hIoni,2212.000000,11.787123,0.154967,-1.754992,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.787647,0.154974,-1.755043,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,11.788147,0.154980,-1.755092,1.000000,0.000846
Secondary Gas,hIoni,2212.000000,11.788374,0.154983,-1.755114,1.000000,0.000148
Secondary Gas,hIoni,2212.000000,11.788497,0.154985,-1.755126,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.788507,0.154985,-1.755127,1.000000,0.000004
Secondary Gas,hIoni,2212.000000,11.788566,0.154986,-1.755133,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.789149,0.154994,-1.755189,1.000000,0.000066
Secondary Gas,hIoni,2212.000000,11.789376,0.154997,-1.755211,1.000000,0.000088
Secondary Gas,hIoni,2212.000000,11.790513,0.155012,-1.755322,1.000000,0.000093
Secondary Gas,hIoni,2212.000000,11.790652,0.155014,-1.755336,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.793085,0.155046,-1.755571,1.000000,0.000252
Secondary Gas,hIoni,2212.000000,11.796433,0.155090,-1.755895,1.000000,0.000752
Secondary Gas,hIoni,2212.000000,11.796893,0.155096,-1.755939,1.000000,0.000004
Secondary Gas,hIoni,2212.000000,11.797727,0.155107,-1.756020,1.000000,0.000032
Secondary Gas,hIoni,2212.000000,11.797954,0.155110,-1.756042,1.000000,0.000263
Secondary Gas,hIoni,2212.000000,11.798845,0.155122,-1.756128,1.000000,0.000121
Secondary Gas,hIoni,2212.000000,11.800872,0.155149,-1.756324,1.000000,0.001075
Secondary Gas,hIoni,2212.000000,11.802302,0.155169,-1.756463,1.000000,0.000124
Secondary Gas,hIoni,2212.000000,11.803862,0.155189,-1.756614,1.000000,0.000831
Secondary Gas,hIoni,2212.000000,11.803925,0.155190,-1.756620,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.806002,0.155218,-1.756822,1.000000,0.000038
Secondary Gas,hIoni,2212.000000,11.806393,0.155223,-1.756861,1.000000,0.000119
Secondary Gas,hIoni,2212.000000,11.806726,0.155228,-1.756894,1.000000,0.000040
Secondary Gas,hIoni,2212.000000,11.807128,0.155233,-1.756933,1.000000,0.000124
Secondary Gas,hIoni,2212.000000,11.808108,0.155246,-1.757030,1.000000,0.001100
Secondary Gas,hIoni,2212.000000,11.810363,0.155276,-1.757251,1.000000,0.000654
Secondary Gas,hIoni,2212.000000,11.810671,0.155280,-1.757282,1.000000,0.000073
Secondary Gas,hIoni,2212.000000,11.810870,0.155283,-1.757301,1.000000,0.000034
Secondary Gas,hIoni,2212.000000,11.813768,0.155322,-1.757585,1.000000,0.001539
Secondary Gas,hIoni,2212.000000,11.814281,0.155328,-1.757636,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.814411,0.155330,-1.757649,1.000000,0.000022
Secondary Gas,hIoni,2212.000000,11.815522,0.155345,-1.757758,1.000000,0.000010
Secondary Gas,hIoni,2212.000000,11.815730,0.155347,-1.757778,1.000000,0.000021
Secondary Gas,hIoni,2212.000000,11.817118,0.155366,-1.757914,1.000000,0.000012
Secondary Gas,hIoni,2212.000000,11.817395,0.155369,-1.757941,1.000000,0.000004
Secondary Gas,hIoni,2212.000000,11.817533,0.155371,-1.757955,1.000000,0.000072
Secondary Gas,hIoni,2212.000000,11.817905,0.155376,-1.757991,1.000000,0.000382
Secondary Gas,hIoni,2212.000000,11.817934,0.155376,-1.757994,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.818073,0.155378,-1.758008,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,11.818355,0.155382,-1.758035,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.818632,0.155385,-1.758063,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,11.819105,0.155391,-1.758109,1.000000,0.000285
Secondary Gas,hIoni,2212.000000,11.819284,0.155394,-1.758127,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,11.819428,0.155395,-1.758141,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.819529,0.155397,-1.758150,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.819823,0.155400,-1.758179,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.819934,0.155402,-1.758190,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,11.820839,0.155413,-1.758279,1.000000,0.000084
Secondary Gas,hIoni,2212.000000,11.820968,0.155415,-1.758291,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.822478,0.155434,-1.758439,1.000000,0.000773
Secondary Gas,hIoni,2212.000000,11.822801,0.155438,-1.758471,1.000000,0.000284
Secondary Gas,hIoni,2212.000000,11.823734,0.155450,-1.758562,1.000000,0.000007
Secondary Gas,hIoni,2212.000000,11.824258,0.155456,-1.758614,1.000000,0.000013
Secondary Gas,hIoni,2212.000000,11.824427,0.155458,-1.758630,1.000000,0.000057
Secondary Gas,hIoni,2212.000000,11.824494,0.155459,-1.758637,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.826235,0.155481,-1.758807,1.000000,0.000521
Secondary Gas,hIoni,2212.000000,11.826646,0.155486,-1.758848,1.000000,0.000327
Secondary Gas,hIoni,2212.000000,11.826863,0.155489,-1.758869,1.000000,0.000166
Secondary Gas,hIoni,2212.000000,11.827795,0.155500,-1.758960,1.000000,0.000194
Secondary Gas,hIoni,2212.000000,11.828010,0.155503,-1.758981,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.828216,0.155506,-1.759001,1.000000,0.000060
Secondary Gas,hIoni,2212.000000,11.828886,0.155514,-1.759067,1.000000,0.000054
Secondary Gas,hIoni,2212.000000,11.829750,0.155525,-1.759151,1.000000,0.000236
Secondary Gas,hIoni,2212.000000,11.830562,0.155535,-1.759231,1.000000,0.000078
Secondary Gas,hIoni,2212.000000,11.830918,0.155539,-1.759266,1.000000,0.000075
Secondary Gas,hIoni,2212.000000,11.831122,0.155542,-1.759286,1.000000,0.000208
Secondary Gas,hIoni,2212.000000,11.831277,0.155544,-1.759301,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.833087,0.155566,-1.759478,1.000000,0.000493
Secondary Gas,hIoni,2212.000000,11.833286,0.155569,-1.759497,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.833328,0.155569,-1.759501,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,11.833595,0.155573,-1.759527,1.000000,0.000005
Secondary Gas,hIoni,2212.000000,11.834623,0.155585,-1.759627,1.000000,0.000032
Secondary Gas,hIoni,2212.000000,11.834780,0.155587,-1.759642,1.000000,0.000007
Secondary Gas,hIoni,2212.000000,11.834936,0.155589,-1.759657,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.835881,0.155601,-1.759748,1.000000,0.000519
Secondary Gas,hIoni,2212.000000,11.836184,0.155604,-1.759777,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.836464,0.155608,-1.759804,1.000000,0.000047
Secondary Gas,hIoni,2212.000000,11.838889,0.155638,-1.760038,1.000000,0.000571
Secondary Gas,hIoni,2212.000000,11.840499,0.155658,-1.760192,1.000000,0.000795
Secondary Gas,hIoni,2212.000000,11.840525,0.155659,-1.760194,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.840759,0.155662,-1.760216,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.841683,0.155674,-1.760304,1.000000,0.000353
Secondary Gas,hIoni,2212.000000,11.842116,0.155680,-1.760345,1.000000,0.000102
