 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 05, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Nitrogen (gas).txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.1480E-03 g/cm3 = 4.9356E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      N      7    100.00    100.00   
 ====================================
 Bragg Correction = -1.55%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  30.00 keV   5.624E-01  3.161E-02  489.19 um   124.35 um   127.00 um  
  32.50 keV   5.853E-01  2.994E-02  521.72 um   127.89 um   132.10 um  
  35.00 keV   6.073E-01  2.846E-02  553.39 um   131.13 um   136.87 um  
  37.50 keV   6.285E-01  2.713E-02  584.24 um   134.10 um   141.34 um  
  40.00 keV   6.489E-01  2.594E-02  614.35 um   136.85 um   145.55 um  
  45.00 keV   6.881E-01  2.388E-02  672.53 um   141.85 um   153.27 um  
  50.00 keV   7.250E-01  2.215E-02  728.26 um   146.21 um   160.21 um  
  55.00 keV   7.601E-01  2.068E-02  781.82 um   150.05 um   166.51 um  
  60.00 keV   7.935E-01  1.942E-02  833.44 um   153.46 um   172.25 um  
  65.00 keV   8.255E-01  1.831E-02  883.33 um   156.53 um   177.53 um  
  70.00 keV   8.562E-01  1.734E-02  931.65 um   159.30 um   182.40 um  
  80.00 keV   9.144E-01  1.570E-02    1.02 mm   164.35 um   191.15 um  
  90.00 keV   9.687E-01  1.437E-02    1.11 mm   168.63 um   198.79 um  
 100.00 keV   1.020E+00  1.327E-02    1.20 mm   172.32 um   205.57 um  
 110.00 keV   1.068E+00  1.234E-02    1.28 mm   175.54 um   211.65 um  
 120.00 keV   1.114E+00  1.154E-02    1.35 mm   178.38 um   217.14 um  
 130.00 keV   1.157E+00  1.085E-02    1.43 mm   180.92 um   222.14 um  
 140.00 keV   1.199E+00  1.025E-02    1.50 mm   183.21 um   226.73 um  
 150.00 keV   1.238E+00  9.709E-03    1.57 mm   185.28 um   230.96 um  
 160.00 keV   1.276E+00  9.231E-03    1.63 mm   187.18 um   234.88 um  
 170.00 keV   1.313E+00  8.802E-03    1.70 mm   188.92 um   238.53 um  
 180.00 keV   1.348E+00  8.414E-03    1.76 mm   190.53 um   241.95 um  
 200.00 keV   1.413E+00  7.741E-03    1.89 mm   193.79 um   248.18 um  
 225.00 keV   1.489E+00  7.049E-03    2.03 mm   197.53 um   255.03 um  
 250.00 keV   1.557E+00  6.479E-03    2.18 mm   200.77 um   261.07 um  
 275.00 keV   1.619E+00  6.000E-03    2.31 mm   203.64 um   266.47 um  
 300.00 keV   1.675E+00  5.593E-03    2.44 mm   206.20 um   271.35 um  
 325.00 keV   1.726E+00  5.242E-03    2.57 mm   208.52 um   275.80 um  
 350.00 keV   1.772E+00  4.935E-03    2.69 mm   210.65 um   279.90 um  
 375.00 keV   1.813E+00  4.665E-03    2.81 mm   212.61 um   283.70 um  
 400.00 keV   1.850E+00  4.425E-03    2.93 mm   214.44 um   287.25 um  
 450.00 keV   1.911E+00  4.017E-03    3.16 mm   218.98 um   293.73 um  
 500.00 keV   1.958E+00  3.683E-03    3.38 mm   223.08 um   299.56 um  
 550.00 keV   1.991E+00  3.403E-03    3.60 mm   226.87 um   304.89 um  
 600.00 keV   2.012E+00  3.166E-03    3.82 mm   230.42 um   309.83 um  
 650.00 keV   2.024E+00  2.962E-03    4.03 mm   233.81 um   314.48 um  
 700.00 keV   2.026E+00  2.784E-03    4.25 mm   237.08 um   318.89 um  
 800.00 keV   2.011E+00  2.489E-03    4.68 mm   247.12 um   327.20 um  
 900.00 keV   1.975E+00  2.254E-03    5.11 mm   256.86 um   335.03 um  
   1.00 MeV   1.927E+00  2.063E-03    5.56 mm   266.54 um   342.60 um  
   1.10 MeV   1.872E+00  1.903E-03    6.01 mm   276.29 um   350.02 um  
   1.20 MeV   1.813E+00  1.767E-03    6.49 mm   286.22 um   357.39 um  
   1.30 MeV   1.753E+00  1.651E-03    6.97 mm   296.37 um   364.79 um  
   1.40 MeV   1.695E+00  1.550E-03    7.48 mm   306.81 um   372.27 um  
   1.50 MeV   1.639E+00  1.461E-03    8.00 mm   317.55 um   379.87 um  
   1.60 MeV   1.585E+00  1.383E-03    8.54 mm   328.60 um   387.63 um  
   1.70 MeV   1.535E+00  1.313E-03    9.09 mm   339.98 um   395.57 um  
   1.80 MeV   1.487E+00  1.250E-03    9.67 mm   351.68 um   403.70 um  
   2.00 MeV   1.401E+00  1.142E-03   10.88 mm   394.81 um   420.64 um  
   2.25 MeV   1.307E+00  1.031E-03   12.48 mm   460.40 um   443.19 um  
   2.50 MeV   1.226E+00  9.417E-04   14.20 mm   525.41 um   467.39 um  
   2.75 MeV   1.156E+00  8.671E-04   16.03 mm   590.37 um   493.29 um  
   3.00 MeV   1.095E+00  8.041E-04   17.96 mm   655.60 um   520.93 um  
   3.25 MeV   1.040E+00  7.501E-04   20.00 mm   721.28 um   550.34 um  
   3.50 MeV   9.919E-01  7.032E-04   22.14 mm   787.54 um   581.51 um  
   3.75 MeV   9.481E-01  6.622E-04   24.38 mm   854.46 um   614.43 um  
   4.00 MeV   9.085E-01  6.259E-04   26.73 mm   922.12 um   649.08 um  
   4.50 MeV   8.391E-01  5.647E-04   31.71 mm     1.17 mm   723.53 um  
   5.00 MeV   7.802E-01  5.149E-04   37.09 mm     1.41 mm   804.66 um  
   5.50 MeV   7.295E-01  4.736E-04   42.86 mm     1.64 mm   892.31 um  
   6.00 MeV   6.853E-01  4.387E-04   49.01 mm     1.86 mm   986.31 um  
   6.50 MeV   6.463E-01  4.089E-04   55.55 mm     2.09 mm     1.09 mm  
   7.00 MeV   6.116E-01  3.830E-04   62.47 mm     2.32 mm     1.19 mm  
   8.00 MeV   5.526E-01  3.404E-04   77.44 mm     3.17 mm     1.42 mm  
   9.00 MeV   5.110E-01  3.067E-04   93.82 mm     3.95 mm     1.68 mm  
  10.00 MeV   4.718E-01  2.794E-04  111.55 mm     4.70 mm     1.95 mm  
