Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Secondary ,Cathode,phot,22.000000,15.324466,0.610859,3.011338,285.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.324371,0.610863,3.011346,181.000000,0.000051
Secondary ,Cathode,phot,22.000000,15.324370,0.610863,3.011346,289.000000,0.000039
Secondary ,Cathode,phot,22.000000,15.324373,0.610863,3.011346,289.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324372,0.610863,3.011346,288.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.324372,0.610863,3.011346,301.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.324376,0.610863,3.011346,301.000000,0.000019
Secondary ,Cathode,phot,22.000000,15.324371,0.610863,3.011346,301.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.324374,0.610863,3.011346,300.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324377,0.610863,3.011346,288.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324369,0.610863,3.011349,181.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324369,0.610863,3.011348,314.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.324366,0.610863,3.011349,316.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324517,0.610831,3.011359,19.000000,0.000019
Secondary ,Cathode,phot,22.000000,15.324521,0.610830,3.011359,320.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324518,0.610830,3.011359,320.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.324523,0.610831,3.011359,320.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.324518,0.610831,3.011359,319.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.324517,0.610831,3.011359,319.000000,0.000019
Secondary ,Cathode,phot,22.000000,15.324524,0.610831,3.011360,319.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324526,0.610831,3.011360,337.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.325583,0.610821,3.011271,19.000000,0.000051
Secondary ,Cathode,phot,22.000000,15.325585,0.610821,3.011272,343.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.325586,0.610821,3.011271,348.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325586,0.610821,3.011272,348.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325584,0.610821,3.011271,343.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.325637,0.610835,3.011266,104.000000,0.000089
Secondary ,Cathode,phot,22.000000,15.325636,0.610835,3.011266,357.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325637,0.610835,3.011266,357.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.325637,0.610835,3.011266,364.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.325246,0.610871,3.011308,355.000000,0.000033
Secondary ,Cathode,phot,22.000000,15.325254,0.610869,3.011309,355.000000,0.000039
Secondary ,Cathode,phot,22.000000,15.325253,0.610869,3.011309,377.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.325255,0.610869,3.011309,377.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325219,0.610871,3.011313,355.000000,0.000059
Secondary ,Cathode,phot,22.000000,15.325158,0.610868,3.011316,386.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.325157,0.610869,3.011316,391.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325221,0.610871,3.011313,385.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.325219,0.610871,3.011313,385.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325301,0.610867,3.011304,355.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.325391,0.610855,3.011302,355.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.325440,0.610846,3.011255,355.000000,0.000051
Secondary ,Cathode,phot,22.000000,15.325440,0.610846,3.011255,404.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325437,0.610847,3.011255,404.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325444,0.610847,3.011255,403.000000,0.000044
Secondary ,Cathode,phot,22.000000,15.325444,0.610847,3.011256,403.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.325443,0.610847,3.011255,417.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325453,0.610847,3.011257,417.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325443,0.610847,3.011256,417.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325442,0.610847,3.011255,417.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325444,0.610848,3.011255,427.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325443,0.610847,3.011256,417.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325440,0.610848,3.011256,430.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325332,0.610835,3.011309,341.000000,0.000051
Secondary ,Cathode,phot,22.000000,15.325331,0.610835,3.011309,440.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325332,0.610835,3.011309,440.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.325339,0.610835,3.011309,341.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325329,0.610835,3.011308,341.000000,0.000064
Secondary ,Cathode,phot,22.000000,15.325327,0.610835,3.011308,449.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.325327,0.610835,3.011308,454.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325323,0.610835,3.011308,448.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325486,0.610828,3.011297,341.000000,0.000012
Secondary ,Cathode,phot,22.000000,15.325484,0.610828,3.011297,460.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325486,0.610828,3.011297,460.000000,0.000030
Secondary ,Cathode,phot,22.000000,15.325639,0.610834,3.011293,341.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.325639,0.610834,3.011293,468.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.325586,0.610831,3.011276,341.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.325586,0.610831,3.011276,473.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325586,0.610831,3.011276,477.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.325586,0.610831,3.011276,473.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.324995,0.610756,3.011191,19.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.324984,0.610756,3.011191,483.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324989,0.610756,3.011190,483.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.324988,0.610756,3.011190,488.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324987,0.610758,3.011195,482.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324987,0.610758,3.011195,497.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324989,0.610758,3.011195,482.000000,0.000039
Secondary ,Cathode,phot,22.000000,15.324991,0.610758,3.011194,501.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324983,0.610758,3.011195,501.000000,0.000020
Secondary ,Cathode,phot,22.000000,15.324984,0.610758,3.011195,506.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324988,0.610758,3.011195,500.000000,0.000000
Secondary ,Cathode,phot,22.000000,15.324988,0.610758,3.011195,482.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324989,0.610758,3.011195,482.000000,0.000064
Secondary ,Cathode,phot,22.000000,15.324983,0.610759,3.011196,515.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.324983,0.610759,3.011196,520.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324984,0.610760,3.011196,520.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.324988,0.610758,3.011194,515.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.324790,0.610777,3.011169,19.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.320986,0.610746,3.011117,19.000000,0.000051
Secondary ,Cathode,phot,22.000000,15.320959,0.610745,3.011117,531.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.320957,0.610745,3.011117,535.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.320808,0.610750,3.011118,530.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.320809,0.610750,3.011118,530.000000,0.000020
Secondary ,Cathode,phot,22.000000,15.320803,0.610750,3.011118,530.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.320803,0.610750,3.011118,546.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.320124,0.610791,3.011121,530.000000,0.000064
Secondary ,Cathode,phot,22.000000,15.320117,0.610792,3.011120,553.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.320120,0.610792,3.011120,557.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.320121,0.610792,3.011121,561.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.320121,0.610792,3.011120,563.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.320238,0.610795,3.011117,551.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.320239,0.610796,3.011118,551.000000,0.000020
Secondary ,Cathode,phot,22.000000,15.320239,0.610796,3.011118,572.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.320244,0.610793,3.011108,551.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.320252,0.610794,3.011109,576.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.320235,0.610793,3.011108,576.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.320241,0.610793,3.011108,581.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.320241,0.610793,3.011108,583.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.320236,0.610793,3.011109,585.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.320232,0.610795,3.011118,551.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.320229,0.610796,3.011117,589.000000,0.000039
Secondary ,Cathode,phot,22.000000,15.320231,0.610795,3.011118,589.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.320802,0.610751,3.011118,530.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.320802,0.610751,3.011118,598.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324553,0.610666,3.011177,19.000000,0.000067
Secondary ,Cathode,phot,22.000000,15.324551,0.610666,3.011177,604.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.324546,0.610666,3.011177,604.000000,0.000033
Secondary ,Cathode,phot,22.000000,15.324546,0.610666,3.011177,611.000000,0.000039
Secondary ,Cathode,phot,22.000000,15.324555,0.610666,3.011177,603.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.324555,0.610666,3.011177,620.000000,0.000033
Secondary ,Cathode,phot,22.000000,15.324557,0.610667,3.011175,603.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.324563,0.610667,3.011175,626.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.323485,0.610844,3.011228,19.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.323489,0.610843,3.011228,632.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.323489,0.610843,3.011228,636.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.323482,0.610844,3.011229,631.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.323484,0.610844,3.011228,645.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.323484,0.610844,3.011228,631.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.323476,0.610844,3.011228,631.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.323485,0.610844,3.011228,631.000000,0.000020
Secondary ,Cathode,phot,22.000000,15.338323,0.610324,3.011345,19.000000,0.000044
Secondary ,Cathode,phot,22.000000,15.338336,0.610324,3.011346,658.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.338336,0.610324,3.011346,663.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338323,0.610324,3.011345,657.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338319,0.610324,3.011346,657.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.338326,0.610322,3.011355,656.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338335,0.610321,3.011355,656.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338335,0.610322,3.011355,656.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.338317,0.610322,3.011354,656.000000,0.000030
Secondary ,Cathode,phot,22.000000,15.338318,0.610322,3.011354,687.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.338318,0.610322,3.011354,687.000000,0.000013
