Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Primary ,Gas,neutronInelastic,2112.000000,9.491037,0.286495,2.281513,0.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.493207,0.286203,2.281282,1.000000,0.000011
Secondary ,Gas,ionIoni,1000070140.000000,9.493214,0.286202,2.281281,1.000000,0.000091
Secondary ,Gas,ionIoni,1000070140.000000,9.493220,0.286201,2.281280,1.000000,0.000086
Secondary ,Gas,ionIoni,1000070140.000000,9.493223,0.286201,2.281280,1.000000,0.000038
Secondary ,Gas,ionIoni,1000070140.000000,9.493243,0.286198,2.281278,1.000000,0.000262
Secondary ,Gas,ionIoni,1000070140.000000,9.493245,0.286198,2.281278,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.493324,0.286187,2.281269,1.000000,0.000810
Secondary ,Gas,ionIoni,1000070140.000000,9.493330,0.286186,2.281269,1.000000,0.000078
Secondary ,Gas,ionIoni,1000070140.000000,9.493346,0.286184,2.281267,1.000000,0.000162
Secondary ,Gas,ionIoni,1000070140.000000,9.493369,0.286181,2.281265,1.000000,0.000077
Secondary ,Gas,ionIoni,1000070140.000000,9.493371,0.286181,2.281264,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.493401,0.286177,2.281261,1.000000,0.000286
Secondary ,Gas,ionIoni,1000070140.000000,9.493415,0.286175,2.281260,1.000000,0.000154
Secondary ,Gas,ionIoni,1000070140.000000,9.493419,0.286174,2.281259,1.000000,0.000020
Secondary ,Gas,ionIoni,1000070140.000000,9.493428,0.286173,2.281258,1.000000,0.000007
Secondary ,Gas,ionIoni,1000070140.000000,9.493431,0.286173,2.281258,1.000000,0.000061
Secondary ,Gas,ionIoni,1000070140.000000,9.493439,0.286172,2.281257,1.000000,0.000145
Secondary ,Gas,ionIoni,1000070140.000000,9.493450,0.286170,2.281256,1.000000,0.000090
Secondary ,Gas,ionIoni,1000070140.000000,9.493457,0.286169,2.281255,1.000000,0.000137
Secondary ,Gas,ionIoni,1000070140.000000,9.493473,0.286167,2.281254,1.000000,0.000148
Secondary ,Gas,ionIoni,1000070140.000000,9.493535,0.286159,2.281247,1.000000,0.000074
Secondary ,Gas,ionIoni,1000070140.000000,9.493551,0.286157,2.281245,1.000000,0.000112
Secondary ,Gas,ionIoni,1000070140.000000,9.493551,0.286157,2.281245,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.493552,0.286156,2.281245,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.493567,0.286154,2.281243,1.000000,0.000048
Secondary ,Gas,ionIoni,1000070140.000000,9.493583,0.286152,2.281242,1.000000,0.000126
Secondary ,Gas,ionIoni,1000070140.000000,9.493587,0.286152,2.281241,1.000000,0.000002
Secondary ,Gas,ionIoni,1000070140.000000,9.493591,0.286151,2.281241,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.493603,0.286150,2.281240,1.000000,0.000031
Secondary ,Gas,ionIoni,1000070140.000000,9.493623,0.286147,2.281237,1.000000,0.000067
Secondary ,Gas,ionIoni,1000070140.000000,9.493627,0.286146,2.281237,1.000000,0.000001
Secondary ,Gas,ionIoni,1000070140.000000,9.493650,0.286143,2.281234,1.000000,0.000252
Secondary ,Gas,ionIoni,1000070140.000000,9.493654,0.286143,2.281234,1.000000,0.000006
Secondary ,Gas,ionIoni,1000070140.000000,9.493666,0.286141,2.281233,1.000000,0.000118
Secondary ,Gas,ionIoni,1000070140.000000,9.493667,0.286141,2.281233,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.493699,0.286137,2.281229,1.000000,0.000036
Secondary ,Gas,ionIoni,1000070140.000000,9.493706,0.286136,2.281229,1.000000,0.000008
Secondary ,Gas,ionIoni,1000070140.000000,9.493731,0.286132,2.281226,1.000000,0.000291
Secondary ,Gas,ionIoni,1000070140.000000,9.493797,0.286123,2.281219,1.000000,0.000678
Secondary ,Gas,ionIoni,1000070140.000000,9.493800,0.286123,2.281218,1.000000,0.000076
Secondary ,Gas,ionIoni,1000070140.000000,9.493809,0.286122,2.281217,1.000000,0.000009
Secondary ,Gas,ionIoni,1000070140.000000,9.493811,0.286122,2.281217,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.493819,0.286120,2.281216,1.000000,0.000088
Secondary ,Gas,ionIoni,1000070140.000000,9.493826,0.286120,2.281216,1.000000,0.000048
Secondary ,Gas,ionIoni,1000070140.000000,9.493847,0.286117,2.281213,1.000000,0.000053
Secondary ,Gas,ionIoni,1000070140.000000,9.493865,0.286114,2.281212,1.000000,0.000228
